habitat	treeID	date	pointID	plant_species	wet_mass_g	dry_mass_g	N_leaves	dist_obs_m	slope_deg	height	observer	height_eyes_m
native	T19C5	26-10-23	T19	Scutia_buxifolia	0.21	0.136	5	4.9	139	7.19	Facu	1.55
native	T19L1	26-10-23	T19	Ligustrum_lucidum	5.35	1.524	5	9.19	142	13.31	Facu	1.55
native	T19L2	26-10-23	T19	Ligustrum_lucidum	NA	NA	NA	6.94	139	9.53	Facu	1.55
native	T19L3	26-10-23	T19	Ligustrum_lucidum	3.96	1.287	5	7.9	131	8.42	Facu	1.55
native	T19T1	12/12/2023	T19	Celtis_tala	0.44	0.131	5	2.8	148	6.11	Fede	1.63
native	T19T2	12/12/2023	T19	Celtis_tala	0.2	0.067	5	4.7	147	8.87	Fede	1.63
native	T19T3	12/12/2023	T19	Celtis_tala	0.66	0.178	5	3.63	145	6.81	Fede	1.63
native	T19T4	12/12/2023	T19	Celtis_tala	0.62	0.147	5	3.7	133	5.08	Fede	1.63
native	T19T5	12/12/2023	T19	Celtis_tala	0.61	0.123	5	5.1	134	6.56	Fede	1.63
native	T1C1	25-7-23	T1	Scutia_buxifolia	0.2	0.104	5	7.85	125	7.13	Fede	1.63
native	T1C2	25-7-23	T1	Scutia_buxifolia	0.2	0.103	5	2.9	124	3.59	Fede	1.63
native	T1C3	25-7-23	T1	Scutia_buxifolia	0.12	0.06	5	7.1	132	8.02	Fede	1.63
native	T1C4	11/9/2023	T1	Scutia_buxifolia	0.17	0.1	5	5.53	136	7.28	Facu	1.55
native	T1C5	11/9/2023	T1	Scutia_buxifolia	0.13	0.073	5	4.95	135	6.5	Facu	1.55
native	T1L1	25-7-23	T1	Ligustrum_lucidum	5.91	2.129	5	3.27	142	5.82	Fede	1.63
native	T1ST1	25-7-23	T1	Jodina_rhombifolia	1.56	0.629	5	4.15	144	7.34	Fede	1.63
native	T1ST2	25-7-23	T1	Jodina_rhombifolia	1.17	0.46	5	5	135	6.63	Fede	1.63
native	T1ST3	25-7-23	T1	Jodina_rhombifolia	1.47	0.629	5	3	114	2.97	Fede	1.63
native	T20C1	22-9-23	T20	Scutia_buxifolia	0.14	0.074	5	2.97	123	3.48	Facu	1.55
native	T20C2	22-9-23	T20	Scutia_buxifolia	0.24	0.138	5	4.08	128	4.74	Facu	1.55
native	T20C3	22-9-23	T20	Scutia_buxifolia	0.14	0.085	5	3.32	145	6.29	Facu	1.55
native	T20C4	22-9-23	T20	Scutia_buxifolia	0.15	0.087	5	2.92	140	5.03	Facu	1.55
native	T20C5	22-9-23	T20	Scutia_buxifolia	0.25	0.134	5	4.57	147	8.59	Facu	1.55
native	T20ST1	22-9-23	T20	Jodina_rhombifolia	0.76	0.347	5	3.82	142	6.44	Facu	1.55
native	T20T1	12/12/2023	T20	Celtis_tala	0.52	0.158	5	3.9	152	8.88	Facu	1.55
native	T20T2	12/12/2023	T20	Celtis_tala	0.55	0.176	5	4.15	143	7.06	Facu	1.55
native	T20T3	12/12/2023	T20	Celtis_tala	0.64	0.185	5	4.3	124	4.45	Facu	1.55
native	T20T4	12/12/2023	T20	Celtis_tala	0.97	0.232	5	4.46	127	4.91	Facu	1.55
native	T20T5	12/12/2023	T20	Celtis_tala	0.9	0.209	5	4.7	142	7.57	Facu	1.55
native	T21C1	22-9-23	T21	Scutia_buxifolia	0.12	0.048	5	2.88	135	4.43	Facu	1.55
native	T21C2	22-9-23	T21	Scutia_buxifolia	0.21	0.116	5	2.96	140	5.08	Facu	1.55
native	T21C3	22-9-23	T21	Scutia_buxifolia	0.28	0.153	5	4.53	138	6.58	Facu	1.55
native	T21C4	22-9-23	T21	Scutia_buxifolia	0.26	0.153	5	4.26	130	5.12	Facu	1.55
native	T21C5	22-9-23	T21	Scutia_buxifolia	0.22	0.147	5	3.63	122	3.82	Facu	1.55
native	T21M1	22-9-23	T21	Schinus_longifolius	0.14	0.069	5	2.1	131	3.38	Facu	1.55
native	T21M2	22-9-23	T21	Schinus_longifolius	0.17	0.083	5	2.79	123	3.36	Facu	1.55
native	T21T1	12/12/2023	T21	Celtis_tala	0.3	0.111	5	4.8	135	6.35	Facu	1.55
native	T21T2	12/12/2023	T21	Celtis_tala	0.42	0.148	5	2.07	142	4.2	Facu	1.55
native	T21T3	12/12/2023	T21	Celtis_tala	0.29	0.083	5	2.2	136	3.83	Facu	1.55
native	T21T4	12/12/2023	T21	Celtis_tala	0.58	0.142	5	2.5	139	4.43	Facu	1.55
native	T22C1	22-9-23	T22	Scutia_buxifolia	0.18	0.074	5	4.82	138	6.9	Facu	1.55
native	T22C2	22-9-23	T22	Scutia_buxifolia	0.33	0.166	5	2.63	136	4.27	Facu	1.55
native	T22C3	22-9-23	T22	Scutia_buxifolia	0.26	0.123	5	3.4	141	5.75	Facu	1.55
native	T22C4	22-9-23	T22	Scutia_buxifolia	0.34	0.196	5	4.08	140	6.41	Facu	1.55
native	T22C5	22-9-23	T22	Scutia_buxifolia	0.21	0.11	5	3.28	142	5.75	Facu	1.55
native	T22M1	22-9-23	T22	Schinus_longifolius	0.14	0.05	5	2.65	126	3.48	Facu	1.55
native	T22M2	22-9-23	T22	Schinus_longifolius	0.25	0.079	5	2.72	142	5.03	Facu	1.55
